date,description,price
2022-03-12,crude oil,
2022-03-13,crude oil,
2022-03-14,crude oil,103.22
2022-03-15,crude oil,96.42
2022-03-16,crude oil,94.85
2022-03-17,crude oil,102.97
2022-03-18,crude oil,104.69
2022-03-19,crude oil,
2022-03-20,crude oil,
2022-03-21,crude oil,112.14
2022-03-22,crude oil,111.03
2022-03-23,crude oil,114.89
2022-03-24,crude oil,114.20
2022-03-25,crude oil,116.20
2022-03-26,crude oil,
2022-03-27,crude oil,
2022-03-28,crude oil,107.55
2022-03-29,crude oil,104.25
2022-03-30,crude oil,107.81
2022-03-31,crude oil,100.53
2022-04-01,crude oil,99.32
2022-04-02,crude oil,
2022-04-03,crude oil,
2022-04-04,crude oil,103.29
2022-04-05,crude oil,101.98
2022-04-06,crude oil,96.39
2022-04-07,crude oil,96.05
2022-04-08,crude oil,98.35
2022-04-09,crude oil,
2022-04-10,crude oil,
2022-04-11,crude oil,94.22
2022-04-12,crude oil,100.52
2022-04-13,crude oil,104.26
2022-04-14,crude oil,106.84
2022-04-15,crude oil,
2022-04-16,crude oil,
2022-04-17,crude oil,
2022-04-18,crude oil,108.24
2022-04-19,crude oil,102.54
2022-04-20,crude oil,102.56
2022-04-21,crude oil,103.89
2022-04-22,crude oil,102.86
2022-04-23,crude oil,
2022-04-24,crude oil,
2022-04-25,crude oil,99.60
2022-04-26,crude oil,102.62
2022-04-27,crude oil,101.96
2022-04-28,crude oil,105.47
2022-04-29,crude oil,104.59
2022-04-30,crude oil,
2022-05-01,crude oil,
2022-05-02,crude oil,105.18
2022-05-03,crude oil,102.53
2022-05-04,crude oil,107.84
2022-05-05,crude oil,108.17
2022-05-06,crude oil,109.72
2022-05-07,crude oil,
2022-05-08,crude oil,
2022-05-09,crude oil,103.08
2022-05-10,crude oil,99.74
2022-05-11,crude oil,105.50
2022-05-12,crude oil,106.15
2022-05-13,crude oil,110.52
2022-05-14,crude oil,
2022-05-15,crude oil,
2022-05-16,crude oil,114.07
2022-05-17,crude oil,112.31
2022-05-18,crude oil,109.67
2022-05-19,crude oil,112.21
2022-05-20,crude oil,112.63
2022-05-21,crude oil,
2022-05-22,crude oil,
2022-05-23,crude oil,110.32
2022-05-24,crude oil,112.55
2022-05-25,crude oil,112.88
2022-05-26,crude oil,116.19
2022-05-27,crude oil,114.96
2022-05-28,crude oil,
2022-05-29,crude oil,
2022-05-30,crude oil,
2022-05-31,crude oil,114.38
2022-06-01,crude oil,115.26
2022-06-02,crude oil,116.88
2022-06-03,crude oil,118.97
2022-06-04,crude oil,
2022-06-05,crude oil,
2022-06-06,crude oil,118.41
2022-06-07,crude oil,119.55
2022-06-08,crude oil,121.94
2022-06-09,crude oil,121.52
2022-06-10,crude oil,120.73
2022-06-11,crude oil,
2022-06-12,crude oil,
2022-06-13,crude oil,120.92
2022-06-14,crude oil,118.92
2022-06-15,crude oil,115.32
2022-06-16,crude oil,117.56
2022-06-17,crude oil,109.56
2022-06-18,crude oil,
2022-06-19,crude oil,
2022-06-20,crude oil,
2022-06-21,crude oil,110.49
2022-06-22,crude oil,106.22
2022-06-23,crude oil,105.75
2022-06-24,crude oil,109.07
2022-06-25,crude oil,
2022-06-26,crude oil,
2022-06-27,crude oil,111.44
2022-06-28,crude oil,113.66
2022-06-29,crude oil,111.65
2022-06-30,crude oil,107.76
2022-07-01,crude oil,110.30
2022-07-02,crude oil,
2022-07-03,crude oil,
2022-07-04,crude oil,
2022-07-05,crude oil,101.55
2022-07-06,crude oil,100.31
2022-07-07,crude oil,104.62
2022-07-08,crude oil,106.78
2022-07-09,crude oil,
2022-07-10,crude oil,
2022-07-11,crude oil,106.09
2022-07-12,crude oil,97.69
2022-07-13,crude oil,98.44
2022-07-14,crude oil,97.79
2022-07-15,crude oil,99.59
